created_at,entry_id,Temp,Light,Voltage,Current,latitude,longitude,elevation,status
2022-06-04T11:19:07+05:30,4,30,15,4.35,-39.51,,,,
2022-06-04T11:20:23+05:30,5,40,15,4.4,-38.27,,,,
2022-06-04T11:20:53+05:30,6,41,15,4.35,-38.05,,,,
2022-06-04T11:21:23+05:30,7,28,15,4.45,-37.5,,,,
2022-06-04T11:21:53+05:30,8,38,15,4.62,-34.62,,,,
2022-06-04T11:22:23+05:30,9,46,15,4.06,-37.18,,,,
2022-06-04T11:22:53+05:30,10,27,15,4.01,-35.7,,,,
2022-06-04T11:23:23+05:30,11,38,15,4.11,-97.88,,,,
2022-06-04T11:23:53+05:30,12,47,15,4.15,-35.28,,,,
2022-06-04T11:25:46+05:30,13,26,15,4.23,-0.04,,,,
2022-06-04T11:26:16+05:30,14,25,15,4.2,-0.12,,,,
2022-06-04T11:26:46+05:30,15,48,15,4.13,-0.04,,,,
2022-06-04T12:32:58+05:30,16,21,15,9.38,-0.04,,,,
2022-06-04T12:33:28+05:30,17,33,15,9.36,-0.04,,,,
2022-06-04T12:33:57+05:30,18,45,15,9.21,-0.04,,,,
2022-06-04T12:34:12+05:30,19,37,15,8.41,-0.04,,,,
2022-06-04T12:34:28+05:30,20,44,15,8.43,-0.04,,,,
2022-06-04T12:34:57+05:30,21,27,15,9.38,-0.04,,,,
2022-06-04T12:35:27+05:30,22,26,15,9.26,-0.04,,,,
2022-06-04T12:35:57+05:30,23,36,15,8.16,-0.04,,,,
2022-06-04T12:36:12+05:30,24,24,15,7.92,-0.04,,,,
2022-06-04T12:36:42+05:30,25,29,15,9.33,-0.04,,,,
2022-06-04T12:37:44+05:30,26,37,15,9.38,-0.04,,,,
2022-06-04T12:37:59+05:30,27,28,15,9.36,-0.04,,,,
2022-06-04T12:38:29+05:30,28,44,15,9.24,-0.04,,,,
2022-06-04T12:38:58+05:30,29,38,15,9.31,-0.04,,,,
2022-06-04T12:39:29+05:30,30,43,15,9.29,-0.04,,,,
2022-06-04T12:39:58+05:30,31,43,15,9.19,-0.04,,,,
2022-06-04T12:40:13+05:30,32,36,15,9.19,-0.04,,,,
2022-06-04T12:40:43+05:30,33,31,15,9.24,-0.04,,,,
2022-06-04T12:41:13+05:30,34,45,15,9.19,-0.04,,,,
2022-06-04T12:41:43+05:30,35,44,15,9.26,-0.04,,,,
2022-06-04T12:42:13+05:30,36,46,15,9.29,-0.04,,,,
2022-06-04T12:46:10+05:30,37,18,15,8.67,-0.11,,,,
2022-06-04T12:46:25+05:30,38,44,15,8.46,-0.1,,,,
2022-06-04T12:46:54+05:30,39,41,15,8.67,-0.04,,,,
2022-06-04T12:47:24+05:30,40,36,15,8.55,-0.08,,,,
2022-06-04T12:47:54+05:30,41,28,15,9.11,-0.06,,,,
2022-06-04T12:48:24+05:30,42,40,15,10.95,-0.08,,,,
2022-06-04T12:48:54+05:30,43,31,15,10.97,-0.03,,,,
2022-06-04T12:49:10+05:30,44,41,15,10.87,-0.03,,,,
2022-06-04T12:49:40+05:30,45,42,15,10.58,-0.02,,,,
2022-06-04T12:50:09+05:30,46,40,15,10.56,-0.03,,,,
2022-06-04T12:50:24+05:30,47,46,15,10.58,-0.03,,,,
2022-06-04T12:50:54+05:30,48,37,15,10.58,-0.05,,,,
2022-06-04T12:51:09+05:30,49,32,15,10.43,-0.03,,,,
2022-06-04T12:51:39+05:30,50,43,15,10.56,-0.03,,,,
2022-06-04T12:52:09+05:30,51,32,15,10.61,-0.03,,,,
2022-06-04T12:53:11+05:30,52,25,15,9.26,-0.03,,,,
2022-06-04T12:53:41+05:30,53,27,15,10.51,-0.03,,,,
2022-06-04T12:54:11+05:30,54,46,15,10.56,-0.03,,,,
2022-06-04T12:54:41+05:30,55,42,15,5.5,-0.03,,,,
2022-06-04T12:55:11+05:30,56,29,15,5.74,-0.03,,,,
2022-06-04T12:56:12+05:30,57,26,15,10.58,-0.03,,,,
2022-06-04T12:56:42+05:30,58,28,15,10.58,-0.04,,,,
2022-06-04T12:58:47+05:30,59,43,15,4.72,-0.03,,,,
2022-06-04T12:59:02+05:30,60,39,15,4.45,-0.03,,,,
2022-06-04T12:59:17+05:30,61,28,15,4.52,-0.03,,,,
2022-06-04T12:59:47+05:30,62,45,15,4.94,-0.03,,,,
2022-06-04T13:00:02+05:30,63,45,15,4.79,-0.03,,,,
2022-06-04T13:00:32+05:30,64,45,15,4.54,-0.03,,,,
2022-06-04T13:00:47+05:30,65,36,15,4.62,-0.05,,,,
2022-06-04T13:01:17+05:30,66,22,15,4.59,-0.03,,,,
2022-06-04T13:01:46+05:30,67,33,15,4.64,-0.03,,,,
2022-06-04T13:02:01+05:30,68,28,15,4.59,-0.03,,,,
2022-06-04T13:02:31+05:30,69,42,15,4.67,-0.03,,,,
2022-06-04T13:02:46+05:30,70,33,15,4.72,-0.03,,,,
2022-06-04T13:03:01+05:30,71,28,15,4.57,-0.03,,,,
2022-06-04T13:03:31+05:30,72,32,15,4.72,-0.03,,,,
2022-06-04T13:03:46+05:30,73,31,15,4.76,-0.03,,,,
2022-06-04T13:04:02+05:30,74,39,15,4.76,-0.03,,,,
2022-06-04T13:04:31+05:30,75,42,15,4.76,-0.03,,,,
2022-06-04T13:04:46+05:30,76,29,15,4.79,-0.03,,,,
2022-06-04T13:05:02+05:30,77,37,15,4.81,-0.03,,,,
2022-06-04T13:05:31+05:30,78,25,15,4.52,-0.03,,,,
2022-06-04T13:06:01+05:30,79,41,15,4.67,-0.03,,,,
2022-06-04T13:06:16+05:30,80,45,15,4.76,-0.03,,,,
